coin,short_venue,long_venue,iv_short,iv_long,overlap_days,apr_90d,apr_30d,apr_14d,pos_day_frac,persist_3bps,persist_10bps,persist_25bps,cond1_pos,cond7_pos,n_episodes,med_ep_days,max_ep_days,med_ep_slope_apr_day,trend_apr_pts_day,trend7_apr_pts_day,max_dd_notional,daily_std,live_gross_apr,cost_roundtrip,net_apr_14d_hold,net_apr_30d_hold,net_apr_ep_hold,flag
MSFT,aster,bitget,8.0,8.0,89.708333,-0.000888,-0.000254,-0.000544,0.175824,0.0,0.0,0.0,0.4375,0.4375,9,2,4,0.002135,3.5e-05,3.8e-05,0.00035,2.1e-05,0.0,0.002,-0.053031,-0.025222,-0.365888,E2
LITE,bitget,bybit,8.0,8.0,89.708333,-0.001365,-0.000267,0.004175,0.307692,0.0,0.0,0.0,0.5,0.285714,14,1,8,0.001529,0.000137,0.00014,0.000664,4.3e-05,0.0,0.0023,-0.061329,-0.029348,,E2
TQQQ,aster,binance,8.0,8.0,66.375,-0.000669,-0.000287,-0.004004,0.164179,0.0,0.0,0.0,0.272727,0.181818,8,1,2,0.0,1e-05,-2.1e-05,0.000235,2.8e-05,0.0,0.0018,-0.047598,-0.022569,,E2
PLTR,aster,bybit,8.0,8.0,89.708333,-0.00167,-0.000328,0.004329,0.131868,0.0,0.0,0.0,0.166667,0.083333,10,1,2,0.0,3.8e-05,2e-06,0.000747,4.8e-05,0.031558,0.0019,-0.051205,-0.024786,,E2
XAG,bybit,binance,4.0,4.0,89.875,-0.00583,-0.000357,0.016031,0.285714,0.0,0.0,0.0,0.538462,0.307692,12,2,5,0.007691,0.000213,0.000205,0.002085,5.8e-05,0.267136,0.0021,-0.06058,-0.03138,-0.38908,E2
LITE,aster,bitget,8.0,8.0,89.708333,0.001155,-0.000386,-0.001766,0.142857,0.0,0.0,0.0,0.153846,0.153846,11,1,3,-0.010403,-0.000149,-0.000158,0.000308,3.3e-05,0.0,0.002,-0.050988,-0.023179,,E2
COHR,aster,bybit,8.0,8.0,77.041667,-0.005259,-0.00041,0.008759,0.179487,0.0,0.0,0.0,0.285714,0.285714,10,1,3,0.002876,0.000286,0.000229,0.001663,6e-05,0.0,0.0019,-0.054795,-0.028376,,E2
NVDA,aster,bitget,8.0,8.0,89.708333,0.001555,-0.00044,-0.001095,0.296703,0.0,0.0,0.0,0.592593,0.37037,11,2,5,0.001667,-8e-05,-9.3e-05,0.000153,2e-05,0.0,0.002,-0.050588,-0.022779,-0.363445,E2
AVGO,binance,bybit,8.0,8.0,89.708333,0.001695,-0.000499,0.008498,0.406593,0.0,0.0,0.0,0.486486,0.405405,19,1,5,0.000645,3.7e-05,6e-05,0.000387,4.9e-05,0.236651,0.0021,-0.053055,-0.023855,,E2
MUU,aster,bitget,8.0,8.0,23.375,-0.000601,-0.000585,-0.000801,0.25,0.0,0.0,0.0,0.5,0.166667,3,1,4,0.002564,0.000266,0.000423,0.00021,5.2e-05,0.0,0.002,-0.052744,-0.024934,,E2
ZHIPU,binance,bybit,8.0,8.0,35.041667,0.01979,-0.000604,-0.007168,0.416667,0.055556,0.027778,0.0,0.333333,0.333333,10,1,3,0.002187,-0.003046,-0.003044,0.00038,0.000233,0.08368,0.0021,-0.03496,-0.00576,,E2
NVDA,aster,binance,8.0,8.0,89.708333,-0.00202,-0.000641,-0.001373,0.087912,0.0,0.0,0.0,0.375,0.0,5,1,3,-0.001542,2.9e-05,-1.7e-05,0.000774,3e-05,0.0,0.0018,-0.048948,-0.02392,,E2
LITE,aster,bybit,8.0,8.0,89.708333,-0.00021,-0.000653,0.002409,0.230769,0.0,0.0,0.0,0.238095,0.238095,16,1,2,0.0,-1.2e-05,-1.8e-05,0.000464,4e-05,0.0,0.0019,-0.049746,-0.023327,,E2
AMZN,binance,bybit,8.0,8.0,89.708333,0.001199,-0.000686,0.001409,0.450549,0.0,0.0,0.0,0.634146,0.609756,15,2,6,-0.000415,-8.5e-05,-8.2e-05,0.00053,3.8e-05,0.0,0.0021,-0.053551,-0.024351,-0.382051,E2
ZHIPU,aster,binance,8.0,8.0,46.041667,0.013145,-0.000714,-0.00602,0.489362,0.042553,0.0,0.0,0.521739,0.565217,11,1,6,-0.004008,-0.001284,-0.001345,0.000838,0.000126,1.118444,0.0018,-0.033784,-0.008755,,E2
AAPL,binance,bybit,8.0,8.0,89.708333,0.001883,-0.000726,0.003154,0.351648,0.0,0.0,0.0,0.625,0.34375,12,2,8,0.000201,-8e-06,-3e-06,0.000279,2.8e-05,0.0,0.0021,-0.052867,-0.023667,-0.381367,E2
MRVL,bybit,bitget,8.0,8.0,89.708333,-0.001909,-0.000759,-0.004715,0.373626,0.032967,0.0,0.0,0.529412,0.323529,16,2,7,-0.000997,-0.00029,-0.000237,0.002051,0.00016,0.253022,0.0023,-0.061873,-0.029892,-0.421659,E2
LITE,aster,binance,8.0,8.0,89.708333,-0.004526,-0.000809,-0.000578,0.131868,0.0,0.0,0.0,0.416667,0.083333,7,2,3,-0.010403,0.000139,0.000131,0.001224,3.6e-05,0.0,0.0018,-0.051455,-0.026426,-0.333026,E2
DRAM,binance,bitget,8.0,8.0,89.708333,0.005505,-0.000868,-0.007281,0.483516,0.0,0.0,0.0,0.545455,0.522727,20,2,6,0.000499,-0.000326,-0.000288,0.000303,6.6e-05,0.0,0.0022,-0.051852,-0.021261,-0.395995,E2
MU,binance,bybit,8.0,8.0,89.708333,-0.001328,-0.000926,-0.001292,0.494505,0.010989,0.0,0.0,0.688889,0.6,14,2,12,-0.002052,2.7e-05,9e-06,0.001868,0.000153,0.0,0.0021,-0.056078,-0.026878,-0.384578,E2
EWY,binance,bitget,8.0,8.0,89.708333,0.006128,-0.000948,-0.005118,0.516484,0.0,0.0,0.0,0.531915,0.595745,22,2,5,-0.000552,-0.000202,-0.000165,0.000256,4.6e-05,0.0,0.0022,-0.051229,-0.020639,-0.395372,E2
ORCL,aster,bitget,8.0,8.0,89.708333,-0.000154,-0.000956,-0.001102,0.175824,0.0,0.0,0.0,0.3125,0.3125,11,1,3,0.008133,-4e-06,1e-06,0.000174,2e-05,0.0,0.002,-0.052296,-0.024487,,E2
SNDK,bitget,bybit,8.0,8.0,89.708333,0.000402,-0.000977,0.001786,0.395604,0.010989,0.0,0.0,0.361111,0.388889,23,1,3,0.002727,0.000106,9e-05,0.001009,7.6e-05,0.0,0.0023,-0.059562,-0.027582,,E2
CRCL,bitget,bybit,8.0,8.0,89.708333,-0.00431,-0.000978,-0.001644,0.384615,0.0,0.0,0.0,0.514286,0.4,17,1,5,-0.001539,0.000173,0.00013,0.002181,0.000133,0.0,0.0023,-0.064274,-0.032293,,E2
DELL,aster,bitget,8.0,8.0,88.708333,0.000287,-0.001038,-0.001281,0.088889,0.0,0.0,0.0,0.0,0.0,8,1,1,0.0,-5.8e-05,-8.3e-05,0.000108,1.7e-05,0.0,0.002,-0.051856,-0.024046,,E2
SAMSUNG,bitget,binance,4.0,4.0,89.708333,-0.01529,-0.001041,0.003306,0.395604,0.10989,0.0,0.0,0.388889,0.388889,22,2,4,-0.008593,0.000152,-0.000251,0.006294,0.000376,1.03541,0.0022,-0.072647,-0.042057,-0.41679,E2
AVGO,bitget,bybit,8.0,8.0,89.708333,-0.000863,-0.001046,0.006515,0.153846,0.0,0.0,0.0,0.428571,0.214286,8,1,4,0.013894,0.000129,0.000226,0.000554,5.3e-05,0.0,0.0023,-0.060828,-0.028847,,E2
SAMSUNG,bitget,bybit,4.0,8.0,89.375,0.019725,-0.00106,-0.009395,0.488889,0.1,0.0,0.0,0.636364,0.613636,16,3,5,-0.012884,0.0,-5.3e-05,0.001707,0.000184,1.066552,0.0023,-0.04024,-0.008259,-0.260109,E2
CRCL,binance,bybit,8.0,8.0,89.708333,-0.000718,-0.001083,-0.000923,0.516484,0.0,0.0,0.0,0.638298,0.617021,17,2,6,-0.000447,-3.1e-05,-5.2e-05,0.001352,0.000122,0.0,0.0021,-0.055468,-0.026268,-0.383968,E2
AMD,binance,bitget,8.0,8.0,89.708333,0.003695,-0.0011,-0.002791,0.417582,0.0,0.0,0.0,0.5,0.5,19,1,13,-0.000368,-0.000165,-0.000166,0.000139,3.2e-05,0.0,0.0022,-0.053662,-0.023071,,E2
AMD,aster,binance,8.0,8.0,89.708333,-0.003813,-0.001102,-0.000803,0.065934,0.0,0.0,0.0,0.166667,0.0,5,1,2,0.0,0.000101,0.000103,0.000967,2.4e-05,0.0,0.0018,-0.050741,-0.025713,,E2
AMZN,bitget,bybit,8.0,8.0,89.708333,-0.001927,-0.001114,0.001124,0.197802,0.0,0.0,0.0,0.388889,0.388889,11,1,4,0.004096,-6e-06,-1.5e-05,0.000558,3.5e-05,0.0,0.0023,-0.061891,-0.02991,,E2
MSTR,aster,bitget,8.0,8.0,89.708333,0.006855,-0.001158,-0.006296,0.43956,0.010989,0.0,0.0,0.45,0.5,22,2,6,0.007701,-0.000267,-0.000201,0.000242,6.5e-05,0.0,0.002,-0.045288,-0.017478,-0.358145,E2
KORU,bybit,binance,8.0,8.0,69.375,0.011274,-0.00116,0.001733,0.442857,0.042857,0.014286,0.014286,0.451613,0.419355,17,2,5,0.009985,-0.001024,-0.001079,0.00129,0.000447,0.634301,0.0021,-0.043476,-0.014276,-0.371976,E2
BE,aster,bybit,8.0,8.0,89.708333,-0.001234,-0.001296,-0.0012,0.153846,0.0,0.0,0.0,0.142857,0.0,12,1,2,0.0,-1e-06,-5e-06,0.000386,3.8e-05,0.0,0.0019,-0.05077,-0.024351,,E2
MRVL,binance,bybit,8.0,8.0,89.708333,0.003113,-0.001297,0.00093,0.494505,0.010989,0.010989,0.0,0.6,0.422222,18,2,5,0.003105,0.000122,6.5e-05,0.002036,0.000152,0.017783,0.0021,-0.051637,-0.022437,-0.380137,E2
DELL,aster,binance,8.0,8.0,88.708333,-0.001319,-0.001298,-0.006366,0.133333,0.0,0.0,0.0,0.416667,0.166667,7,1,5,-0.005934,8.5e-05,0.000114,0.000555,3.7e-05,0.0,0.0018,-0.048248,-0.023219,,E2
ZHIPU,aster,bybit,8.0,8.0,35.041667,0.022707,-0.001317,-0.013189,0.444444,0.055556,0.027778,0.0,0.375,0.375,10,1,4,0.14006,-0.003844,-0.004607,0.000724,0.000249,1.202124,0.0019,-0.026829,-0.00041,,E2
NVDA,binance,bybit,8.0,8.0,89.708333,-7.4e-05,-0.001349,8.6e-05,0.373626,0.0,0.0,0.0,0.558824,0.382353,15,2,6,0.000349,4e-06,3.3e-05,0.000296,4.5e-05,0.0,0.0021,-0.054824,-0.025624,-0.383324,E2
SKHY,binance,bybit,8.0,8.0,52.375,-0.002994,-0.001352,-0.000812,0.433962,0.0,0.0,0.0,0.391304,0.434783,14,1,4,-0.00185,0.000241,0.000308,0.000642,7.3e-05,0.0,0.0021,-0.057744,-0.028544,,E2
CL,binance,bitget,4.0,4.0,89.875,-0.01263,-0.001443,0.008344,0.373626,0.0,0.0,0.0,0.382353,0.323529,21,1,3,0.004899,0.000289,0.000218,0.00351,0.00016,0.152161,0.0022,-0.069987,-0.039397,,E2
SKHY,aster,bybit,8.0,8.0,52.375,-0.003848,-0.001474,-0.001113,0.377358,0.0,0.0,0.0,0.35,0.4,13,1,4,0.001331,0.000212,0.000234,0.000662,5.6e-05,0.0,0.0019,-0.053383,-0.026964,,E2
NVDA,bitget,bybit,8.0,8.0,89.708333,-0.003648,-0.00155,-0.000192,0.186813,0.0,0.0,0.0,0.470588,0.058824,9,1,5,0.00138,0.000113,0.000109,0.001013,4.5e-05,0.0,0.0023,-0.063612,-0.031631,,E2
PLTR,binance,bybit,8.0,8.0,89.708333,-0.001127,-0.001552,0.003275,0.21978,0.0,0.0,0.0,0.3,0.25,14,1,3,0.000951,-1.4e-05,-4.2e-05,0.000635,4.7e-05,0.031558,0.0021,-0.055877,-0.026677,,E2
MUU,binance,bybit,8.0,8.0,47.041667,0.006937,-0.001605,-0.006956,0.416667,0.020833,0.0,0.0,0.5,0.4,10,2,6,-0.001464,-0.000734,-0.000555,0.000354,9.1e-05,0.047611,0.0021,-0.047813,-0.018613,-0.376313,E2
NATGAS,aster,binance,4.0,4.0,89.875,-0.001784,-0.001845,-0.004488,0.21978,0.0,0.0,0.0,0.4,0.25,12,2,2,0.0,9.1e-05,0.000103,0.00062,3.9e-05,0.0,0.0018,-0.048713,-0.023684,-0.330284,E2
MSTR,binance,bybit,8.0,8.0,89.708333,-0.001489,-0.001859,-0.005987,0.494505,0.0,0.0,0.0,0.466667,0.466667,24,1,7,0.001969,-1e-05,-8e-06,0.000826,8.1e-05,0.015637,0.0021,-0.056239,-0.027039,,E2
SNXX,aster,binance,8.0,8.0,23.375,-0.00193,-0.00188,-0.006879,0.333333,0.0,0.0,0.0,0.5,0.375,4,2,3,-0.002722,-0.000702,-0.000505,0.000264,3.2e-05,0.0,0.0018,-0.048859,-0.02383,-0.33043,E2
NVDA,aster,bybit,8.0,8.0,89.708333,-0.002093,-0.001989,-0.001287,0.230769,0.0,0.0,0.0,0.428571,0.095238,12,1,5,-0.001057,3.3e-05,1.6e-05,0.000687,4.3e-05,0.0,0.0019,-0.051629,-0.02521,,E2
AXTI,bitget,bybit,8.0,8.0,77.041667,-0.000885,-0.001998,0.00579,0.153846,0.012821,0.0,0.0,0.25,0.166667,9,1,2,0.0,8.3e-05,4.3e-05,0.000462,5.5e-05,0.0,0.0023,-0.06085,-0.028869,,E2
MRVL,binance,bitget,8.0,8.0,89.708333,0.001204,-0.002055,-0.003785,0.351648,0.010989,0.0,0.0,0.4375,0.25,18,1,5,-0.000159,-0.000168,-0.000172,0.000652,5.2e-05,0.270804,0.0022,-0.056153,-0.025562,,E2
INTC,binance,bitget,8.0,8.0,89.708333,0.004455,-0.002108,-0.003682,0.428571,0.0,0.0,0.0,0.538462,0.512821,18,2,6,-0.003658,-0.000229,-0.000194,0.000295,4.5e-05,0.32954,0.0022,-0.052902,-0.022311,-0.397045,E2
MINIMAX,binance,bitget,8.0,8.0,46.041667,0.000923,-0.002117,-0.002911,0.404255,0.0,0.0,0.0,0.315789,0.263158,13,1,3,-0.004244,-0.000237,-0.000247,0.000391,6.7e-05,0.32769,0.0022,-0.056434,-0.025843,,E2
NBIS,binance,bybit,8.0,8.0,89.708333,-0.007257,-0.002142,-0.011426,0.32967,0.010989,0.0,0.0,0.5,0.166667,15,2,4,-0.005724,0.000202,0.000179,0.001895,0.000103,0.0,0.0021,-0.062007,-0.032807,-0.390507,E2
MSTR,bitget,bybit,8.0,8.0,89.708333,-0.010182,-0.002193,-0.003153,0.175824,0.0,0.0,0.0,0.1875,0.125,13,1,3,0.004494,0.000332,0.000272,0.002712,0.000101,0.0,0.0023,-0.070146,-0.038165,,E2
AMD,aster,bitget,8.0,8.0,89.708333,-0.000117,-0.002202,-0.003594,0.131868,0.0,0.0,0.0,0.5,0.333333,6,1,6,-0.003162,-6.5e-05,-6.3e-05,0.000307,1.7e-05,0.0,0.002,-0.05226,-0.024451,,E2
ORCL,aster,binance,8.0,8.0,89.708333,-0.002441,-0.002224,-0.001664,0.021978,0.010989,0.0,0.0,0.0,0.0,2,1,1,0.0,5.6e-05,4.6e-05,0.000678,4.9e-05,0.0,0.0018,-0.049369,-0.024341,,E2
AAOI,binance,bitget,8.0,8.0,85.041667,0.009583,-0.002232,-0.00441,0.476744,0.023256,0.0,0.0,0.585366,0.487805,17,2,8,0.003423,-0.000657,-0.000842,0.000578,9.3e-05,0.0,0.0022,-0.047774,-0.017184,-0.391917,E2
XAU,bybit,aster,4.0,4.0,89.875,0.005743,-0.002305,0.007076,0.43956,0.010989,0.0,0.0,0.65,0.35,14,2,9,0.004511,-0.000134,-0.000161,0.000507,6.2e-05,0.375432,0.0019,-0.043792,-0.017373,-0.341007,E2
INTC,binance,bybit,8.0,8.0,89.708333,0.002782,-0.002348,-0.002107,0.43956,0.0,0.0,0.0,0.5,0.475,20,2,6,-9.9e-05,-0.000125,-0.000102,0.000233,2.5e-05,0.104551,0.0021,-0.051968,-0.022768,-0.380468,E2
ZHIPU,bitget,binance,8.0,8.0,46.041667,-0.013939,-0.002407,-0.00316,0.446809,0.021277,0.0,0.0,0.52381,0.333333,10,2,5,0.001766,0.000396,0.000226,0.002948,0.000295,0.827393,0.0022,-0.071296,-0.040705,-0.415439,E2
MSFT,binance,bitget,8.0,8.0,89.708333,0.001018,-0.002443,-0.005235,0.285714,0.0,0.0,0.0,0.5,0.384615,13,2,5,-0.003156,-0.000105,-0.000107,0.000325,3.6e-05,0.0,0.0022,-0.05634,-0.025749,-0.400482,E2
MINIMAX,binance,aster,8.0,8.0,46.041667,-0.003117,-0.002534,2e-05,0.361702,0.0,0.0,0.0,0.352941,0.235294,11,1,4,-0.001653,-3.7e-05,-5.5e-05,0.000809,6.6e-05,0.321547,0.0018,-0.050045,-0.025017,,E2
PLTR,bitget,bybit,8.0,8.0,89.708333,-0.002879,-0.0026,0.002237,0.120879,0.0,0.0,0.0,0.181818,0.090909,9,1,2,0.0,1.3e-05,-1.8e-05,0.000858,5.5e-05,0.031558,0.0023,-0.062843,-0.030863,,E2
COIN,aster,binance,8.0,8.0,89.708333,-0.004367,-0.002648,-0.000977,0.131868,0.0,0.0,0.0,0.166667,0.0,10,1,2,0.0,7.6e-05,4.9e-05,0.001157,3.1e-05,0.0,0.0018,-0.051295,-0.026267,,E2
PAXG,binance,bitget,4.0,4.0,89.875,0.00012,-0.002798,-0.00369,0.516484,0.0,0.0,0.0,0.574468,0.531915,20,2,6,-0.000467,-8.8e-05,-8.5e-05,0.000449,2.8e-05,0.067759,0.0022,-0.057237,-0.026646,-0.40138,E2
CBRS,binance,bybit,8.0,8.0,89.708333,0.002111,-0.002842,-0.000273,0.428571,0.010989,0.0,0.0,0.538462,0.333333,18,1,10,0.003048,-3.3e-05,-1.4e-05,0.000372,7e-05,0.0,0.0021,-0.052639,-0.023439,,E2
DRAM,aster,binance,8.0,8.0,89.708333,-0.001927,-0.002879,-0.004237,0.252747,0.0,0.0,0.0,0.434783,0.217391,13,2,4,0.003132,-2.5e-05,-1.9e-05,0.00064,2.8e-05,0.0,0.0018,-0.048855,-0.023827,-0.330427,E2
KORU,bybit,aster,8.0,8.0,67.041667,0.002242,-0.002921,0.001441,0.397059,0.029412,0.0,0.0,0.555556,0.333333,12,2,5,0.000639,-0.000242,-9.1e-05,0.000832,0.000123,0.428167,0.0019,-0.047294,-0.020875,-0.344508,E2
ZHIPU,bitget,bybit,8.0,8.0,35.041667,-0.001837,-0.003011,-0.010329,0.361111,0.027778,0.0,0.0,0.307692,0.307692,9,1,3,0.051547,-0.000681,-0.001405,0.001069,0.000149,0.911073,0.0023,-0.061801,-0.02982,,E2
XAG,aster,binance,4.0,4.0,89.875,-0.001807,-0.003081,-0.001417,0.153846,0.010989,0.0,0.0,0.5,0.071429,7,2,4,0.046657,-3.5e-05,1.5e-05,0.00089,6.5e-05,0.023761,0.0018,-0.048736,-0.023707,-0.330307,E2
MU,binance,bitget,8.0,8.0,89.708333,0.001793,-0.003096,-0.004218,0.395604,0.0,0.0,0.0,0.555556,0.416667,16,1,9,-4.9e-05,-0.000208,-0.000219,0.000458,4.9e-05,0.0,0.0022,-0.055564,-0.024973,,E2
TSLA,binance,bybit,8.0,8.0,89.708333,-0.00231,-0.003103,0.005667,0.285714,0.0,0.0,0.0,0.576923,0.307692,11,2,5,0.001278,-3.6e-05,-4.4e-05,0.00103,6e-05,0.0,0.0021,-0.05706,-0.02786,-0.38556,E2
COHR,aster,bitget,8.0,8.0,89.708333,0.001011,-0.003212,-0.006722,0.197802,0.0,0.0,0.0,0.333333,0.222222,12,1,5,0.005074,-0.000157,-0.000174,0.0003,3.5e-05,0.0,0.002,-0.051132,-0.023322,,E2
QQQ,binance,bybit,8.0,8.0,89.708333,-4.6e-05,-0.003241,-0.000265,0.417582,0.0,0.0,0.0,0.526316,0.473684,18,2,5,-0.000947,-0.000176,-0.000189,0.000716,4.1e-05,0.055714,0.0021,-0.054796,-0.025596,-0.383296,E2
TSLA,aster,bybit,8.0,8.0,89.708333,-0.00317,-0.003331,0.005278,0.241758,0.0,0.0,0.0,0.545455,0.318182,10,2,5,0.000247,-1.3e-05,-2.9e-05,0.000999,5.8e-05,0.0,0.0019,-0.052705,-0.026286,-0.34992,E2
